,Unnamed: 0,中文,便宜,價格,免費,公園,動物園,博物,咖啡,地區,孩子,展覽,市場,擁擠,散步,方便,旅行,櫻花,歷史,火車,照片,當地,神社,紀念品,美景,英語,購物,車站,酒吧,風景,食物,餐廳,label
0,0,新宿御苑,0.037094171221508765,0.0263780773130729,0.031323966809274066,0.8177203967052599,0.0008243149160335281,0.004121574580167641,0.0263780773130729,0.031323966809274066,0.04945889496201169,0.005770204412234697,0.0008243149160335281,0.09067464076368809,0.1409578506417333,0.035445541389441705,0.046161635297877576,0.5193183971011227,0.014013353572569979,0.024729447481005844,0.0675938231147493,0.04204006071770993,0.004945889496201169,0.004945889496201169,0.03214828172530759,0.06017498887044755,0.015661983404637033,0.05522909937424638,0.005770204412234697,0.06347224853458167,0.05193183971011227,0.03214828172530759,2
1,1,明治神宮,0.0,0.0,0.0,0.5940885257860046,0.0,0.0,0.0,0.02475368857441686,0.0,0.0,0.0,0.04950737714883372,0.1237684428720843,0.1237684428720843,0.04950737714883372,0.0,0.07426106572325057,0.0,0.04950737714883372,0.02475368857441686,0.7673643458069226,0.02475368857441686,0.0,0.0,0.09901475429766744,0.0,0.0,0.04950737714883372,0.0,0.02475368857441686,2
2,2,淺草,0.22266248460967397,0.0890649938438696,0.0445324969219348,0.0890649938438696,0.0,0.0,0.0890649938438696,0.15586373922677177,0.0222662484609674,0.0,0.0890649938438696,0.1781299876877392,0.13359749076580438,0.5343899630632175,0.13359749076580438,0.0890649938438696,0.2894612299925762,0.0445324969219348,0.13359749076580438,0.20039623614870658,0.0890649938438696,0.44532496921934794,0.0222662484609674,0.0,0.37852622383644574,0.0222662484609674,0.0,0.0890649938438696,0.06679874538290219,0.15586373922677177,2
3,3,築地市場,0.060454144634902854,0.06649955909839314,0.006045414463490285,0.0,0.0,0.0,0.006045414463490285,0.0,0.0,0.0,0.9854025575489165,0.0,0.006045414463490285,0.042317901244431994,0.0,0.01209082892698057,0.030227072317451427,0.0,0.0,0.05440873017141257,0.006045414463490285,0.0,0.0,0.0,0.0,0.01209082892698057,0.0,0.0,0.05440873017141257,0.10881746034282513,2
4,4,武士博物館,0.009387499011745761,0.08918124061158474,0.07509999209396609,0.0,0.0,0.8167124140218812,0.0,0.028162497035237283,0.05632499407047457,0.09387499011745762,0.0,0.009387499011745761,0.0,0.009387499011745761,0.15958748319967794,0.0,0.4599874515755423,0.004693749505872881,0.07979374159983897,0.009387499011745761,0.0,0.028162497035237283,0.004693749505872881,0.2487687238112627,0.0,0.0,0.0,0.0,0.004693749505872881,0.009387499011745761,2
5,5,銀座,0.05767845915364739,0.10894820062355617,0.020828332472150445,0.012817435367477197,0.0,0.0016021794209346496,0.11375473888636012,0.15380922440972636,0.006408717683738598,0.006408717683738598,0.03685012668149694,0.032043588418692995,0.08010897104673248,0.09292640641420968,0.04005448552336624,0.0016021794209346496,0.009613076525607897,0.05447410031177809,0.012817435367477197,0.04005448552336624,0.003204358841869299,0.008010897104673249,0.004806538262803949,0.014419614788411847,0.9148444493536849,0.011215255946542548,0.07049589452112458,0.014419614788411847,0.13938960962131453,0.2483378102448707,2
6,6,東京國立博物館,0.008864495840152364,0.008864495840152364,0.04432247920076183,0.12410294176213311,0.04432247920076183,0.9573655507364555,0.0,0.008864495840152364,0.03545798336060946,0.12410294176213311,0.0,0.008864495840152364,0.008864495840152364,0.01772899168030473,0.01772899168030473,0.01772899168030473,0.21274790016365677,0.0,0.0,0.01772899168030473,0.0,0.008864495840152364,0.0,0.008864495840152364,0.008864495840152364,0.0,0.0,0.0,0.01772899168030473,0.0,2
7,7,淺草寺,0.045236064922770984,0.08905850281670538,0.08764487578786878,0.031099794634405053,0.0014136270288365933,0.00848176217301956,0.01837715137487571,0.14560358397016912,0.045236064922770984,0.0,0.19932141106595966,0.5060784763235004,0.07209497847066626,0.0862312487590322,0.16256710831620824,0.057958708182300325,0.18235788671992054,0.045236064922770984,0.15973985425853504,0.22052581649850855,0.2798981517096455,0.4961830871216443,0.024031659490222086,0.03392704869207824,0.28131177873848207,0.028272540576731866,0.014136270288365933,0.04664969195160758,0.30534343822870413,0.09047212984554197,2
8,8,上野恩賜公園,0.012691229075625941,0.006043442416964734,0.027799835118037776,0.8442689056499733,0.23085950032805283,0.3474979389754722,0.02296508118446599,0.01994335997598362,0.03444762177669898,0.012086884833929468,0.025986802392948354,0.03203024480991309,0.0864212265625957,0.029612867843127194,0.019339015734287146,0.27981138390546717,0.025382458151251883,0.028404179359734247,0.009669507867143573,0.04351278540214608,0.0954863901880428,0.0006043442416964733,0.011482540592232995,0.003021721208482367,0.019339015734287146,0.06708221082830855,0.003021721208482367,0.01994335997598362,0.052577949027593184,0.02175639270107304,2
9,9,東京晴空塔,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2
10,10,江戶東京博物館,0.008853704592489988,0.015177779301411409,0.111303714877017,0.005059259767137136,0.0,0.863868605238666,0.026561113777469964,0.008853704592489988,0.07335926662348848,0.19351668609299547,0.001264814941784284,0.017707409184979976,0.007588889650705704,0.01897222412676426,0.07588889650705705,0.001264814941784284,0.40980004113810803,0.016442594243195694,0.026561113777469964,0.012648149417842841,0.003794444825352852,0.013912964359627125,0.002529629883568568,0.1416592734798398,0.0,0.016442594243195694,0.0,0.002529629883568568,0.016442594243195694,0.0316203735446071,2
