0,displayPrice,label,name,rating,合住房間,整個房源,獨立房間,飯店房間
,720.0,2.0,BookTeaBed Azabu-Juban HONDANA STYLE01,4.6,1.0,0.0,0.0,0.0
,634.0,1.0,临近天空树 全新&舒适空间 提供免费WIFI ！#401,0.0,0.0,1.0,0.0,0.0
,1308.0,2.0,东京站/日本桥/皇宫/室町/人形町/ #402,4.58,0.0,0.0,1.0,0.0
,1556.0,1.0,"有人家田端公寓302,地鐵4分鐘到上野",4.17,0.0,1.0,0.0,0.0
,1441.0,1.0,DM9）SHINJUKU中心*免费口袋WIfi *,4.25,0.0,1.0,0.0,0.0
,1008.0,2.0,TOP EDGE HOUSE 103,4.59,0.0,0.0,1.0,0.0
,882.0,2.0,Lucky Hostel in Shinjuku 8,4.47,0.0,0.0,1.0,0.0
,864.0,1.0,临近浅草/上野/6分钟直达入谷站/提供免费WIFI/最大可住4人#203,4.35,0.0,1.0,0.0,0.0
,908.0,2.0,Juyoh Hotel Single Room with High-Bed and Shared B,4.74,0.0,0.0,1.0,0.0
,1240.0,1.0,➳最寄り駅徒歩４分に新築物件♔ インテリアにこだわった大人落ち着くブルックリンスタイル♔上野501,0.0,0.0,1.0,0.0,0.0
,1441.0,2.0,"Port House Shibuya
(Double room2)",4.89,0.0,0.0,1.0,0.0
,1556.0,1.0,*3 Cozy home hotel[ 淺草的緣酒店]淺草上野地區，入住2-3人，免費網絡，高級衛浴,4.67,0.0,1.0,0.0,0.0
,605.0,0.0,3F15【仅限男性】地处上野 距车站步行5分钟！！提供免费WIFI 背包客大欢迎,4.33,0.0,0.0,0.0,1.0
,1124.0,0.0,"New design capsule hotel (female only, no lock)",4.93,0.0,0.0,0.0,1.0
,1498.0,1.0,"新宿附近!免费 Wifi,舒适公寓!",5.0,0.0,1.0,0.0,0.0
,1152.0,2.0,Narita&Tokyo good access / Sunsun house 2 beds,4.71,0.0,0.0,1.0,0.0
,1441.0,1.0,3分钟到车站！提供免费WIFI/交通便捷 设施齐全#107,5.0,0.0,1.0,0.0,0.0
,1268.0,1.0,▼开业促销▼新宿站1分钟/ Wifi 24,5.0,0.0,1.0,0.0,0.0
,663.0,2.0,东京|饭店，宿舍，膠囊|上野，浅草，秋叶原区域|银座线浅草站5分|Dormitory,4.77,1.0,0.0,0.0,0.0
,864.0,0.0,Women’s floor!☆Guest house☆Ryoma Ikebukuro,4.68,0.0,0.0,0.0,1.0
,490.0,2.0,New Open!! Asakusa Area Dormitory Mika House (3),4.75,1.0,0.0,0.0,0.0
,605.0,0.0,5F8【仅限女性】地处上野 距车站步行5分钟！！提供免费WIFI 背包客大欢迎,5.0,0.0,0.0,0.0,1.0
,720.0,2.0,东京|饭店，宿舍，膠囊|很方便去银座，新宿，成田，羽田|Dormitory,4.58,1.0,0.0,0.0,0.0
,1729.0,1.0,SL401/4分钟上野/ 2间卧室/最多8人/ 40％折扣！,4.65,0.0,1.0,0.0,0.0
,310.0,2.0,New open! Happy House B-2☆Shinjuku☆3 min station☆,3.55,1.0,0.0,0.0,0.0
,1550.0,2.0,"Gallery Stay DENCHI ""Private room""",4.57,0.0,0.0,1.0,0.0
,1383.0,1.0,Newly Built APT Near SKYTREE Free Pocket WiFi4-2,3.33,0.0,1.0,0.0,0.0
,1902.0,2.0,江戸町家の宿　両国庵201,4.55,0.0,0.0,1.0,0.0
,807.0,2.0,From Okachimachi walk for 3 mins/Ueno 8 mins,4.04,0.0,0.0,1.0,0.0
,859.0,0.0,田地客房（限 1 人）,4.82,0.0,0.0,0.0,1.0
,2161.0,1.0,"Hotel Yuyukan Center of Kabukicho, Shinjuku",4.3,0.0,1.0,0.0,0.0
,720.0,0.0,"上野旅馆Siesta(女性专用/男性专用）(四分钟步行到御徒町站,邻站有秋叶原和上野)",4.86,0.0,0.0,0.0,1.0
,1441.0,2.0,"Port House Shibuya
(Twin room1)",4.81,0.0,0.0,1.0,0.0
,1008.0,0.0,"New design capsule hotel (female only, no lock)",4.5,0.0,0.0,0.0,1.0
,310.0,2.0,New open! Happy House A-1☆Shinjuku☆3 min station☆,3.68,1.0,0.0,0.0,0.0
,893.0,0.0,男女混合ドミトリー 築１００年のゲストハウスtoco.,5.0,0.0,0.0,0.0,1.0
,1729.0,2.0,"#1新宿 3分钟 JR车站,客房 A房间",4.44,0.0,0.0,1.0,0.0
,573.0,0.0,TOKYO-W-INN Asakusa　Bunk Bed 8-Bed Mixed Dormitory,4.8,0.0,0.0,0.0,1.0
,573.0,0.0,TOKYO-W-INN Asakusa　Bunk Bed 8-Bed Mixed Dormitory,4.8,0.0,0.0,0.0,1.0
,2247.0,1.0,Tokyo Spa Room,4.62,0.0,1.0,0.0,0.0
,1383.0,2.0,"三越百货店日本桥本店,日本中央银行!三井室町COREDO购物中心近在眼前!#302",4.76,0.0,0.0,1.0,0.0
,1066.0,1.0,3分钟到车站！5分钟直达池袋！舒适安心公寓#203,4.67,0.0,1.0,0.0,0.0
,871.0,2.0,銀座，築地和歌舞伎座都很近！ Wi-Fi免費★適合女性,4.88,1.0,0.0,0.0,0.0
,1297.0,2.0,"7km from Haneda Airport,one bedroom(101)",4.61,0.0,0.0,1.0,0.0
,692.0,2.0,Oak Hostel Cabin　Mixed Capsule Room,4.72,1.0,0.0,0.0,0.0
,1152.0,1.0,New APT w/loft up to 2 Near Ikebukuro FreeWiFi,4.55,0.0,1.0,0.0,0.0
,1037.0,1.0,#2 Cozy home APT.上野 淺草寺步行便利，入谷車站5分最大可住6人。溫馨的家,4.04,0.0,1.0,0.0,0.0
,1297.0,1.0,"UP to 6PPL, 5mins Shinagawa, Free Pocket WiFi",4.14,0.0,1.0,0.0,0.0
,4610.0,1.0,东京深度游/晴空塔浅草寺商店街/交通方便/免费自行车/免费高速WiFi/体验本地生活,4.92,0.0,1.0,0.0,0.0
,1383.0,0.0,"SHIMOKITA HOSTEL BU Shibuya3min, Shinjuku8min,",5.0,0.0,0.0,0.0,1.0
,1023.0,2.0,Japanese-Style Standard Single Room with TV,4.7,0.0,0.0,1.0,0.0
,1441.0,0.0,"OLD TOKYO ASAKUSA AREA
private TATAMI ROOM",4.8,0.0,0.0,0.0,1.0
,994.0,2.0,上野駅から徒歩10分、稲荷町駅2分、アメ横・浅草寺も徒歩圏内！個室のお部屋です【シングルルーム】,4.61,0.0,0.0,1.0,0.0
,1124.0,0.0,"New design capsule hotel (male only, no lock)",4.75,0.0,0.0,0.0,1.0
,310.0,2.0,New open! Happy House C-1☆Shinjuku☆3 min station☆,3.87,1.0,0.0,0.0,0.0
,2404.0,1.0,32 Spacious Homely Apt. Shinjuku-Shibuya 5PAX,4.75,0.0,1.0,0.0,0.0
,951.0,2.0,7分钟步行可到中野新桥站 精致和风双人房 daib10,0.0,0.0,0.0,1.0,0.0
,2305.0,1.0,KO201）浅草站徒步7分钟/WIFI免费/浅草/雷门,4.71,0.0,1.0,0.0,0.0
,1729.0,1.0,SL201/4分钟上野/ 2间卧室/最多8人/ 40％折扣！,4.85,0.0,1.0,0.0,0.0
